[2026-08-10T18:45:12.867Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbf7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.119.woff2 → 200 (1ms, -814B)
[2026-08-10T18:45:12.868Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOygqbT7HmqeHWdb8.woff2 → 200 (?ms, -815B)
[2026-08-10T18:45:12.868Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.111.woff2 → 200 (?ms, -814B)
[2026-08-10T18:45:12.868Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.113.woff2 → 200 (?ms, -814B)
[2026-08-10T18:45:12.868Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.116.woff2 → 200 (?ms, -814B)
[2026-08-10T18:45:12.868Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.117.woff2 → 200 (?ms, -814B)
[2026-08-10T18:45:12.868Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.118.woff2 → 200 (?ms, -814B)
[2026-08-10T18:45:12.868Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.119.woff2 → 200 (?ms, -814B)
[2026-08-10T18:45:12.868Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6aT7HmqeHWdb8.woff2 → 200 (1ms, -815B)
[2026-08-10T18:45:12.869Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYjMdZwl.woff2 → 200 (?ms, -815B)
[2026-08-10T18:45:12.869Z] GET https://fonts.gstatic.com/s/zillaslab/v12/dFa5ZfeM_74wlPZtksIFYoEf6HOpW3pwfa0.woff2 → 200 (?ms, -815B)
